Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:10:18,20-03-2025 11:10:59,40.808s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), category, true)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:10:59,20-03-2025 11:11:33,34.106s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_field-keywords""), item)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:11:33,20-03-2025 11:11:34,1.049s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_nav-search-submit-button""))",Edge Chromium 134.0.3124.72,,,20-03-2025 11:11:34,20-03-2025 11:11:53,19.340s,PASSED
closeBrowser(),Edge Chromium 134.0.3124.72,,,20-03-2025 11:11:53,20-03-2025 11:11:55,1.599s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 134.0.3124.72,,,20-03-2025 11:11:55,20-03-2025 11:12:56,1m - 1.372s,PASSED
"DATA BINDING - {""item"":""bike accessories"",""category"":""Car \u0026 Motorbike""}",,,,,,,
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:11:55,20-03-2025 11:11:58,3.402s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:11:58,20-03-2025 11:12:22,23.424s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), category, true)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:12:22,20-03-2025 11:12:34,12.296s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_field-keywords""), item)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:12:34,20-03-2025 11:12:35,1.293s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_nav-search-submit-button""))",Edge Chromium 134.0.3124.72,,,20-03-2025 11:12:35,20-03-2025 11:12:55,19.195s,PASSED
closeBrowser(),Edge Chromium 134.0.3124.72,,,20-03-2025 11:12:55,20-03-2025 11:12:56,1.725s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 134.0.3124.72,,,20-03-2025 11:12:56,20-03-2025 11:13:53,56.620s,PASSED
